"<통계표 메타자료>"
"○ 통계표ID","DT_118N_PAYM32"
"○ 통계표명","직종,학력,연령계층,성별 임금 및 근로조건"
"○ 수록기간"," 년 2009 ~ 2019"
"○ 출처","KOSIS(고용노동부,「고용형태별근로실태조사」), 2020.06.03 23:14"
"○ 문의처","고용노동부 044-202-7239"
"○ 주석 정보"
"통계표 >"," 1) 총근로시간=소정실근로시간+초과근로시간"
""," 2) 휴일근로시간=초과근로시간 중 휴일에 근로한 시간"
""," 3) 월임금총액=정액급여+초과급여+전년도연간특별급여/12개월"
""," * 연간특별급여는 월간 변동성이 커서 연간으로 조사되어야 하나 동 조사는 매년 6월 기준 조사이므로 당해연도 연간특별급여를 조사할 수 없어, 전년도 연간특별급여를 조사하고 이를 12개월로 나누어 당해연도 6월 임금총액에 합산함"
""," 4) 월급여액=정액급여+초과급여"

"○ 분류/항목 정보",
"분류코드","분류/항목명","분류값","분류값명","단위","가중치"
"15118KSCO6_","한국표준직업분류6차","15118KSCO6_0","전직종","",""
"15118KSCO6_","한국표준직업분류6차","15118KSCO6_1","관리자(1)","",""
"15118KSCO6_","한국표준직업분류6차","15118KSCO6_2","전문가 및 관련 종사자(2)","",""
"15118KSCO6_","한국표준직업분류6차","15118KSCO6_3","사무 종사자(3)","",""
"15118KSCO6_","한국표준직업분류6차","15118KSCO6_4","서비스 종사자(4)","",""
"15118KSCO6_","한국표준직업분류6차","15118KSCO6_5","판매 종사자(5)","",""
"15118KSCO6_","한국표준직업분류6차","15118KSCO6_6","농림어업 숙련 종사자(6)","",""
"15118KSCO6_","한국표준직업분류6차","15118KSCO6_7","기능원 및 관련 기능 종사자(7)","",""
"15118KSCO6_","한국표준직업분류6차","15118KSCO6_8","장치,기계조작 및 조립종사자(8)","",""
"15118KSCO6_","한국표준직업분류6차","15118KSCO6_9","단순노무 종사자(9)","",""
"13101205070GRADES","학력별","13102205070GRADES.0","전학력","",""
"13101205070GRADES","학력별","13102205070GRADES.3","고졸","",""
"13101205070GRADES","학력별","13102205070GRADES.4","전문대졸","",""
"13101205070GRADES","학력별","13102205070GRADES.5","대졸이상","",""
"13101205070GRADES","학력별","13102205070GRADES.2","중졸이하","",""
"13101205070SEXS","성별","13102205070SEXS.1","남","",""
"13101205070SEXS","성별","13102205070SEXS.2","여","",""
"13101205070SEXS","성별","13102205070SEXS.0","계","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.11","60세 ~","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.10","55 ~ 59","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.09","50 ~ 54","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.08","45 ~ 49","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.07","40 ~ 44","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.06","35 ~ 39","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.04","25 ~ 29","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.03","20 ~ 24","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.02","~ 19세","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.00","계","",""
"13101205070AGEGRADE","연령","13102205070AGEGRADE.05","30 ~ 34","",""
"13999001","항목","13103205070AVEAGE","평균연령","세",""
"13999001","항목","13103205070DURATION","평균근속년수","년",""
"13999001","항목","13103205070WORKDAYS","근로일수","일",""
"13999001","항목","13103732814DD_2","총근로시간","시간","0"
"13999001","항목","13103732814DD_3","소정실근로시간","시간","0"
"13999001","항목","13103732814DD_4","초과근로시간","시간","0"
"13999001","항목","16118DD_13","휴일근로시간","시간",""
"13999001","항목","16118DD_10","월임금총액","천원",""
"13999001","항목","13103732814DD_5","월급여액","천원","0"
"13999001","항목","13103732814DD_6","정액급여","천원","0"
"13999001","항목","13103732814DD_7","초과급여","천원","0"
"13999001","항목","16118DD_12","전년도연간특별급여/12개월","천원",""
"13999001","항목","13103732814DD_8","연간특별급여","천원","0"
"13999001","항목","13103205070WORKERCNT","근로자수","명",""
