"한국표준직업분류6차","학력별","성별","연령","시점","평균연령[세]","평균근속년수[년]","근로일수[일]","총근로시간[시간]","소정실근로시간[시간]","초과근로시간[시간]","휴일근로시간[시간]","월임금총액[천원]","월급여액[천원]","정액급여[천원]","초과급여[천원]","전년도연간특별급여/12개월[천원]","연간특별급여[천원]","근로자수[명]",
"전직종","전학력","계","계","2012 년","39.9","6.2","21.4","182.3","166.4","16","-","2997","2567","2371","196","431","5170","8569535",
"전직종","전학력","계","계","2013 년","40.5","6.4","20.7","176.3","160.2","16","-","3116","2660","2451","209","457","5482","8683949",
"전직종","전학력","계","계","2014 년","40.4","6","20.7","175.9","161.2","14.7","-","3235","2754","2545","209","481","5777","9227229",
"전직종","전학력","계","계","2015 년","41.1","6.2","22.4","184.2","175.2","9","4.2","3269","2820","2607","212","449","5389","9643688",
"전직종","전학력","계","계","2016 년","41.5","6.4","21.7","182","169","13","4.2","3351","2892","2686","207","459","5508","10221341",
"전직종","전학력","계","계","2017 년","41.6","6.3","21.6","180.8","168","12.7","4.1","3446","3002","2779","222","445","5338","10353783",
"전직종","전학력","계","계","2018 년","42","6.5","20.2","167.5","155.7","11.8","4.2","3593","3137","2911","225","456","5475","10510220",
"전직종","전학력","계","계","2019 년","42.6","6.7","19.9","163.6","153.1","10.5","3.3","3720","3259","3042","216","461","5537","10846459",
"전직종","전학력","계","~ 19세","2012 년","18.5",".7","20.1","170.5","148.7","21.8","-","1523","1363","1143","219","160","1921","41041",
"전직종","전학력","계","~ 19세","2013 년","18.5",".7","19.7","165.6","146.1","19.5","-","1515","1398","1195","202","118","1410","46621",
"전직종","전학력","계","~ 19세","2014 년","18.5",".7","19.1","161.5","143.6","17.9","-","1501","1429","1233","195","72","867","51310",
"전직종","전학력","계","~ 19세","2015 년","18.5",".7","20.2","158.8","150.2","8.6","3.8","1435","1377","1211","165","58","699","50364",
"전직종","전학력","계","~ 19세","2016 년","18.5",".7","19.2","155.5","141.9","13.6","3.8","1422","1377","1212","165","44","531","57011",
"전직종","전학력","계","~ 19세","2017 년","18.5",".7","20","165","151.7","13.3","3.8","1612","1563","1401","162","48","580","52049",
"전직종","전학력","계","~ 19세","2018 년","18.6",".8","18.5","147.3","136.4","10.9","3.5","1672","1627","1479","148","45","540","49296",
"전직종","전학력","계","~ 19세","2019 년","18.6",".7","18.2","148","138.2","9.8","2.7","1882","1828","1678","150","53","640","39078",
"전직종","전학력","계","20 ~ 24","2012 년","22.6","1.2","21.3","181.6","164.3","17.3","-","1763","1618","1451","168","145","1741","445695",
"전직종","전학력","계","20 ~ 24","2013 년","22.6","1.3","20.8","176.3","159.5","16.9","-","1832","1672","1492","180","160","1921","431638",
"전직종","전학력","계","20 ~ 24","2014 년","22.6","1.3","20.7","175.1","159.4","15.7","-","1943","1748","1555","193","195","2340","484433",
"전직종","전학력","계","20 ~ 24","2015 년","22.6","1.3","22","180.3","171.3","9","4.3","1885","1763","1586","177","122","1465","491798",
"전직종","전학력","계","20 ~ 24","2016 년","22.7","1.3","21.4","179.4","166.1","13.4","4.1","1932","1819","1650","169","113","1354","518852",
"전직종","전학력","계","20 ~ 24","2017 년","22.6","1.3","21.1","175.5","163.1","12.4","3.6","1968","1855","1690","165","112","1350","538228",
"전직종","전학력","계","20 ~ 24","2018 년","22.7","1.3","19.9","164.2","153","11.3","3.7","2100","1998","1831","168","102","1219","507902",
"전직종","전학력","계","20 ~ 24","2019 년","22.7","1.3","19.6","160.9","150.7","10.2","3","2265","2152","1981","170","113","1359","471259",
"전직종","전학력","계","25 ~ 29","2012 년","27.3","2.3","21.2","181","165.2","15.8","-","2301","2017","1856","162","283","3402","1218428",
"전직종","전학력","계","25 ~ 29","2013 년","27.2","2.3","20.5","174.8","158.9","15.8","-","2389","2087","1907","180","302","3623","1128469",
"전직종","전학력","계","25 ~ 29","2014 년","27.2","2.3","20.6","175.6","160.5","15.1","-","2539","2192","1996","196","347","4168","1215298",
